,Time,Name,Address,Activity Type,Duration
0,9:00 am,Indianapolis Motor Speedway,"4790 W 16th St, Indianapolis, IN 46222",Visit,1 hour
1,10:30 am,Chidlren's Museum of Indianapolis,"3000 N Meridian St, Indianapolis, IN 46208",Tour,2 hours
2,1:00 pm,Indianapolis Zoo,"1200 W Washington St, Indianapolis, IN 46222",Tour + Lunch,4 hours
3,5:00pm,White River State Park,"801 W Washington St, Indianapolis, IN 46204",Visit,1.5 hours
4,6:30pm,Soldiers & Sailors Monument,"1 Monument Cir, Indianapolis, IN 46204",Visit + Group Photoshoot,1 hour
5,7:30pm,Indianapolis City Market,"222 E Market St, Indianapolis, IN 46204",Shopping + Dinner,1.5 hours
